id,nombre,categoria,pais,cantidad,precioUnitario,fecha,metodoPago
305,High-Low Hem Tee,Clothing - Tops,Argentina,11,488.82,2025-08-18,BIZUM
306,Dog Training Whistle,Pets,Venezuela,18,598.44,2025-08-09,BIZUM
307,Almond Joy Munch Bars,Food - Snacks,Ukraine,8,113.53,2025-04-11,BIZUM
308,Electric Stool Heater,Home,Brazil,1,357.4,2025-05-10,TARJETA
309,Foot Massager,Health,Malaysia,10,820.33,2026-02-03,TRANSFERENCIA
310,Scented Candles,Home,Portugal,5,924.54,2026-02-10,TARJETA
311,LED Under Cabinet Lighting,Home,Russia,14,431.52,2026-02-12,TRANSFERENCIA
312,Frozen Burritos,Food - Frozen Foods,Poland,17,524.35,2025-07-08,BIZUM
313,Party Mini Dress,Clothing - Dresses,China,14,762.08,2025-05-02,BIZUM
314,Sunflower Seeds,Food - Nuts,Indonesia,11,77.75,2025-12-03,TRANSFERENCIA
315,Portable SSD,Storage,Zambia,8,175.56,2026-02-16,TARJETA
316,USB-C Hub,Computers,China,13,762.74,2025-06-08,TARJETA
317,Kids' Activity Book,Books,Japan,10,734.15,2025-03-21,TRANSFERENCIA
318,Creamy Spinach Dip,Food - Prepared Foods,Russia,6,132.7,2025-08-07,BIZUM
319,Roasted Red Pepper Hummus,Food - Dips,China,6,457.28,2025-04-09,BIZUM
320,Raspberry Vanilla Greek Yogurt,Food - Dairy,Russia,15,957.16,2025-09-14,TRANSFERENCIA
321,Organic Cereal Bars,Food - Snacks,United Arab Emirates,10,180.66,2026-01-25,TARJETA
322,Slim Fit Chinos,Clothing - Pants,Indonesia,12,478.84,2025-06-23,TARJETA
323,Peas (frozen),Food - Frozen Foods,Japan,10,368.59,2026-01-11,BIZUM
324,Terry Cloth Robe,Clothing - Loungewear,Portugal,1,608.33,2026-03-08,BIZUM
325,Cinnamon Sugar Mix,Food - Baking,China,11,225.68,2025-10-31,TARJETA
326,Digital Food Thermometer,Kitchen,Morocco,12,439.1,2025-06-19,TRANSFERENCIA
327,Honeycrisp Apple Chips,Food - Snacks,China,16,351.81,2025-12-28,TARJETA
328,Mayonnaise,Food - Condiments,Indonesia,9,502.83,2025-02-09,TRANSFERENCIA
329,Frozen Berry Medley,Food - Frozen Foods,Indonesia,2,42.38,2025-01-27,TARJETA
330,Fresh Lemons,Food - Fresh Produce,Spain,12,424.54,2025-08-19,TARJETA
331,Sweet Cherry Tomatoes,Food - Produce,Russia,7,939.54,2026-01-29,TRANSFERENCIA
332,Avocado Oil,Food - Oils,China,9,805.01,2025-01-07,TARJETA
333,Oatmeal Raisin Cookies,Food - Baked Goods,Russia,2,368.87,2026-02-03,TARJETA
334,Organic Coconut Sugar,Food - Baking Goods,Canada,1,999.25,2025-07-04,BIZUM
335,LED Strip Lights with Remote Control,Home,Yemen,20,887.34,2025-06-17,TARJETA
336,Kids' STEM Robotics Kit,Toys,Peru,3,497.8,2025-05-14,TARJETA
337,Chocolate Peanut Butter Cups,Food - Snacks,Greece,15,40.12,2025-10-12,TRANSFERENCIA
338,Phone Case,Accessories,China,14,132.84,2025-01-09,BIZUM
339,Sun-Dried Tomato Pesto,Food - Condiments,Poland,9,829.27,2025-05-31,BIZUM
340,Fitbit Activity Tracker,Fitness,China,13,388.37,2025-07-20,BIZUM
341,Organic Italian Seasoning,Food - Spices,Sweden,17,747.0,2025-10-21,TRANSFERENCIA
342,Puzzle 3D Model Kit,Toys,China,20,919.98,2025-03-10,BIZUM
343,Free-Range Eggs,Food - Dairy,Philippines,17,695.35,2025-04-08,TRANSFERENCIA
344,Cinnamon Roll Protein Bar,Food - Snacks,China,15,814.38,2025-06-23,BIZUM
345,Nut Mix,Food - Snacks,United States,15,901.5,2025-07-06,TRANSFERENCIA
346,Frozen Spinach,Food - Frozen Foods,Kazakhstan,13,721.43,2025-06-08,BIZUM
347,Mesh Laundry Bags Set,Home,Russia,17,643.74,2025-11-02,TRANSFERENCIA
348,Weighted Jump Rope with Counter,Fitness,Ethiopia,3,190.66,2025-06-06,TRANSFERENCIA
349,Garden Hose,Garden,China,17,557.37,2025-04-26,BIZUM
350,Acoustic Guitar,Music,Sweden,5,285.23,2025-09-09,TRANSFERENCIA
351,Home Karaoke System,Audio,Poland,20,966.84,2026-02-03,TRANSFERENCIA
352,Coffee Capsule Dispenser,Kitchen,Brazil,6,243.48,2026-03-12,TARJETA
353,Collapsible Camping Cup,Outdoor,Indonesia,4,47.99,2025-09-01,TRANSFERENCIA
354,Essential Oil Diffuser,Health,France,19,229.82,2025-02-20,TARJETA
355,Smart Air Purifier,Home,Macedonia,19,782.52,2026-02-27,TRANSFERENCIA
356,LED Table Lamp,Home,Nigeria,4,42.41,2025-03-10,BIZUM
357,Stuffed Bell Peppers,Food - Frozen Meals,Indonesia,11,277.24,2026-02-20,BIZUM
358,Compact Electric Kettle,Kitchen,Vietnam,6,645.73,2026-02-10,BIZUM
359,Classic Watch,Accessories,Poland,20,103.54,2025-03-19,TARJETA
360,Puzzle,Toys,France,18,374.4,2026-01-06,BIZUM
361,Dried Cranberries,Food - Snacks,China,5,99.36,2025-02-04,TARJETA
362,Pumpkin Spice Pancake Mix,Food - Breakfast,Brazil,4,660.7,2026-01-03,TRANSFERENCIA
363,Kettle BBQ Grill,Outdoor,Sweden,12,421.16,2025-11-07,TARJETA
364,Electric Griddle with Removable Plates,Kitchen,Russia,4,257.47,2025-12-30,TARJETA
365,Herbal Tea Variety Pack,Food - Beverages,Costa Rica,10,548.64,2025-05-11,BIZUM
366,Teriyaki Chicken Wings,Food - Frozen Food,Brazil,19,808.32,2026-03-29,BIZUM
367,Fleece Throw Blanket,Home,China,11,933.92,2026-01-18,TRANSFERENCIA
368,Chocolate Coconut Protein Balls,Food - Snacks,Brazil,11,586.4,2025-08-07,TARJETA
369,Vegetarian Chili,Food - Canned Goods,Malta,4,996.84,2025-10-15,TRANSFERENCIA
370,Chocolate Mint Thins,Food - Snacks,Nicaragua,8,560.48,2025-11-26,TRANSFERENCIA
371,Bamboo Charcoal Air Purifier Bags,Home,China,10,489.72,2025-03-24,BIZUM
372,Frozen Mixed Vegetables,Food - Frozen,Kiribati,20,187.65,2025-06-28,TRANSFERENCIA
373,Spicy BBQ Sauce,Food - Condiments,Japan,2,35.73,2025-03-03,TRANSFERENCIA
374,Bicycle Repair Kit,Outdoor,Czech Republic,12,242.77,2025-10-23,BIZUM
375,Faux Fur Throw Blanket,Home,United States,1,690.08,2025-12-08,BIZUM
376,Personal Safety Alarm,Safety,Burundi,1,128.06,2025-10-18,TARJETA
377,Spinach Feta Wraps,Food - Deli,Sweden,5,846.38,2025-01-19,BIZUM
378,Folding Exercise Bike,Fitness,Malaysia,20,709.35,2025-03-23,BIZUM
379,Spicy Tuna Sushi Kit,Food - Prepared Meals,China,9,525.8,2025-11-27,TRANSFERENCIA
380,Pet Bed with Removable Cover,Pets,Russia,16,713.44,2026-02-14,TRANSFERENCIA
381,Chocolate Chip Cookie Mix,Food - Baking,China,1,263.03,2026-01-14,TRANSFERENCIA
382,Maple Syrup,Food - Condiments,Russia,18,208.29,2026-01-15,TRANSFERENCIA
383,Cinnamon Sugar Tortilla Chips,Food - Snacks,Macedonia,12,868.13,2025-09-09,TRANSFERENCIA
384,Frozen Salmon Filets,Food - Seafood,Philippines,16,216.77,2025-10-05,BIZUM
385,Honeycrisp Apples,Food - Produce,Cyprus,5,644.8,2026-03-29,TRANSFERENCIA
386,Wireless Charging Station,Electronics,Mexico,5,153.05,2025-03-06,BIZUM
387,Creamy Spinach Dip,Food - Prepared Foods,China,10,844.34,2025-02-05,TARJETA
388,Coconut Curry Lentil Soup,Food - Canned Goods,Indonesia,11,746.92,2025-09-28,BIZUM
389,Honey Glazed Carrots,Food - Produce,Indonesia,9,971.75,2025-05-10,BIZUM
390,Sour Cream,Food - Dairy,Costa Rica,18,580.71,2025-05-24,TARJETA
391,Almond Butter Crunch Bar,Food - Snacks,China,19,184.49,2025-05-19,TRANSFERENCIA
392,Tea Set with Infuser,Kitchen,Ireland,14,527.87,2025-08-05,TARJETA
393,Rice Pilaf Mix,Food - Grains,China,12,217.99,2025-10-31,TRANSFERENCIA
394,Balsamic Salad Dressing,Food - Deli,Portugal,10,390.35,2026-03-03,TRANSFERENCIA
395,Wireless Charger,Accessories,Nigeria,1,887.46,2026-03-26,BIZUM
396,Luxury Bath Robe,Clothing,Indonesia,16,508.8,2026-02-14,BIZUM
397,Photo Album,Home,United States,10,736.71,2026-03-27,TARJETA
398,Party Mini Dress,Clothing - Dresses,Netherlands,4,581.82,2025-01-19,TARJETA
399,Beef Taco Skillet,Food - Meal Kits,France,13,180.91,2025-09-29,TARJETA
400,Mini Indoor Herb Garden Kit,Garden,China,12,385.47,2025-12-01,TARJETA
401,Dark Chocolate Tart,Food - Desserts,Indonesia,16,274.53,2025-12-21,BIZUM
402,Flavored Instant Oatmeal,Food - Breakfast,Kuwait,11,209.04,2026-02-25,BIZUM
403,Electric Kettle with Temperature Control,Kitchen,France,3,970.17,2026-02-07,TRANSFERENCIA
404,Sunflower Seeds,Food - Nuts,Guam,1,98.44,2025-06-17,BIZUM
405,Floral Wrap Top,Clothing - Tops,Colombia,6,913.72,2025-06-28,TARJETA
406,Compact Shoe Rack,Home,Argentina,3,134.75,2025-08-06,BIZUM
407,Sweet and Spicy Barbecue Sauce,Food - Condiments,Sweden,15,799.05,2025-09-01,TARJETA
408,Maple Almond Butter,Food - Nut Butters,China,2,642.99,2025-05-07,TARJETA
409,Breathable Face Mask Set,Health,Palestinian Territory,2,855.49,2025-12-03,TARJETA
410,Garden Tool Set,Garden,France,1,173.3,2025-06-08,TARJETA
411,Puzzle Mat,Toys,Slovenia,18,283.41,2025-09-02,BIZUM
412,Honey Lemon Tea,Food - Beverages,Indonesia,7,752.51,2025-01-12,BIZUM
413,Children's Musical Instrument Set,Toys,Thailand,7,139.93,2025-07-06,TARJETA
414,Rechargeable Electric Toothbrush,Health,China,12,616.56,2025-12-17,TRANSFERENCIA
415,Electric Food Slicer,Kitchen,Indonesia,9,430.14,2025-05-10,BIZUM
416,Compact Digital Camera,Photography,China,20,610.78,2025-07-17,TRANSFERENCIA
417,Honey Butter Popcorn,Food - Snacks,Indonesia,5,998.28,2026-02-16,BIZUM
418,Athletic Jogging Jacket,Clothing - Outerwear,China,15,508.3,2025-06-01,TARJETA
419,Comfort Flats,Clothing - Shoes,Peru,5,330.04,2025-06-21,TRANSFERENCIA
420,Eco-Friendly Cleaning Cloths,Home,Brazil,17,603.39,2025-02-18,TARJETA
421,Fresh Basil Pesto,Food - Sauces,United States,3,413.65,2025-12-21,TARJETA
422,Honeycrisp Apple Chips,Food - Snacks,Sweden,17,908.48,2026-01-23,TARJETA
423,Pocket Blanket,Outdoor,United States,6,631.9,2026-02-16,BIZUM
424,Wireless HDMI Transmitter,Electronics,Indonesia,2,708.66,2025-08-22,TARJETA
425,Crafting Kit,Art Supplies,Indonesia,11,173.15,2025-11-13,TARJETA
426,Stainless Steel BBQ Grill Set,Outdoor,China,12,590.28,2025-04-24,BIZUM
427,Herbed Chicken Breast,Food - Meat,Colombia,6,674.15,2025-07-03,BIZUM
428,Rice Pilaf Mix,Food - Grains,Armenia,19,769.12,2025-08-29,BIZUM
429,Mediterranean Couscous Salad,Food - Salads,Saudi Arabia,8,252.28,2025-07-15,BIZUM
430,Waterproof Rain Boots,Clothing - Footwear,Comoros,12,447.57,2026-03-05,BIZUM
431,Foot Spa Bath Massager,Health,Ukraine,11,606.29,2025-02-09,BIZUM
432,Eco-Friendly Stainless Steel Straws,Kitchen,Russia,19,121.79,2025-02-11,TARJETA
433,Strawberry Banana Smoothie Pack,Food - Frozen,France,9,334.87,2025-10-15,TRANSFERENCIA
434,Telescope,Outdoor,Philippines,13,819.28,2025-03-20,TARJETA
435,Wireless Music Receiver,Audio,France,17,687.71,2025-05-31,TRANSFERENCIA
436,Spicy Tuna Rolls,Food - Seafood,China,10,97.99,2025-01-11,TRANSFERENCIA
437,Black Bean & Corn Salad,Food - Salads,Russia,12,443.95,2026-01-23,BIZUM
438,Spice Rack,Kitchen,Russia,4,8.31,2026-03-24,TARJETA
439,Classic Black Trousers,Clothing - Pants,Russia,5,286.1,2025-02-12,TARJETA
440,Pineapple Coconut Rice Mix,Food - Grains,Indonesia,8,599.35,2025-01-15,BIZUM
441,Lockable Bicycle Chain,Outdoor,Kenya,1,987.34,2025-08-19,BIZUM
442,Organic Fruit Salad,Food - Produce,Philippines,6,180.02,2025-02-24,TARJETA
443,Denim Jacket,Clothing - Outerwear,Poland,8,616.12,2025-05-09,TRANSFERENCIA
444,Asian Noodle Salad Kit,Food - Salads,Ukraine,19,207.1,2025-04-23,BIZUM
445,Cocktail Shaker and Mixing Glass Set,Kitchen,Indonesia,16,630.24,2025-07-05,TARJETA
446,Golf Putting Green,Sports,Canada,12,141.93,2025-02-27,BIZUM
447,Spicy Salsa Verde,Food - Condiments,Austria,4,326.69,2025-11-28,TRANSFERENCIA
448,Portable Grill Cover,Outdoor,Indonesia,10,981.0,2026-03-31,TRANSFERENCIA
449,Zucchini,Food - Produce,Finland,15,390.1,2025-08-22,TARJETA
450,Weighted Jump Rope,Fitness,Sweden,18,218.3,2025-05-07,BIZUM
451,Strawberry Banana Smoothie Pack,Food - Frozen,Philippines,19,170.0,2026-03-16,TARJETA
452,Pumpkin Spice Coffee,Food - Beverages,China,1,33.03,2025-04-25,TARJETA
453,Crispy Kale Chips,Food - Snacks,Bosnia and Herzegovina,2,979.93,2025-12-08,TRANSFERENCIA
454,Inspirational Wall Art,Home,France,15,525.74,2025-10-30,BIZUM
455,Pumpkin Spice Muffins,Food - Bakery,China,11,85.99,2025-06-14,TARJETA
456,Savory Oatmeal,Food - Breakfast,Canada,6,248.72,2025-01-26,TARJETA
457,Smart Home Hub,Smart Home,Brazil,12,667.62,2025-06-02,BIZUM
458,Air Fryer,Kitchen,Mexico,6,986.02,2025-03-11,BIZUM
459,Garlic Parmesan Roasted Potatoes,Food - Sides,Thailand,1,765.36,2025-09-24,TARJETA
460,Beef Tacos,Food - Meat,China,3,310.48,2025-05-29,TRANSFERENCIA
461,Pet Travel Carrier,Pets,China,8,679.94,2025-01-02,TARJETA
462,Avocado Lime Dressing,Food - Condiments,Japan,10,121.44,2026-01-07,TARJETA
463,Soft Plush Throw Blanket,Home,Indonesia,4,335.92,2025-07-13,TRANSFERENCIA
464,Luxury Bath Robe,Clothing,Indonesia,4,792.98,2025-08-26,TRANSFERENCIA
465,Dog Car Seat Cover,Pets,United States,12,656.51,2025-05-11,BIZUM
466,Animal Paw Print Soap Dispenser,Home,Tunisia,8,595.4,2025-05-31,TARJETA
467,Classic Bagels,Food - Bakery,Sweden,3,330.76,2025-04-28,BIZUM
468,Portable Camping Shower,Outdoor,Mauritius,17,254.3,2025-06-21,BIZUM
469,Peanut Butter Banana Smoothie,Food - Beverages,Philippines,8,412.02,2025-03-20,BIZUM
470,Portable Pet Bathing Tool,Pets,Indonesia,20,95.27,2025-11-08,BIZUM
471,Maple Glazed Carrots,Food - Prepared Foods,Venezuela,12,264.06,2025-11-26,BIZUM
472,Spicy Thai Noodles,Food - Frozen Meals,Venezuela,4,155.44,2025-06-02,BIZUM
473,Jennifer's Amazing Lip Balm Kit,Beauty,France,1,178.7,2025-10-13,BIZUM
474,Adjustable Kitchen Broom Stand,Home,Uganda,19,441.01,2025-07-07,BIZUM
475,Plant Pot Drip Trays,Garden,Indonesia,14,235.55,2025-10-27,BIZUM
476,Cat Scratching Post with Toys,Pets,Brazil,19,674.76,2025-11-10,TRANSFERENCIA
477,Banana Chips,Food - Snacks,Panama,4,537.98,2025-08-31,BIZUM
478,Tailored Dress Pants,Clothing - Bottoms,Colombia,13,565.04,2025-03-10,BIZUM
479,Potato Wedge Seasoning,Food - Condiments,Uzbekistan,17,745.17,2025-04-22,TARJETA
480,Trackpad for Laptop,Accessories,China,5,902.3,2025-03-19,TARJETA
481,Crispy Potato Tots,Food - Frozen Foods,Morocco,13,214.57,2025-12-11,TRANSFERENCIA
482,Kettle Chip Variety Pack,Food - Snacks,Bangladesh,16,200.43,2025-07-31,TARJETA
483,Educational STEM Kit,Toys,Canada,20,496.05,2025-11-14,TRANSFERENCIA
484,Chic Ankle Strap Heels,Clothing - Shoes,Indonesia,13,193.88,2025-01-29,TARJETA
485,Cooking Utensil Set,Kitchen,Uzbekistan,8,852.76,2026-03-01,TRANSFERENCIA
486,Stuffed Bell Peppers,Food - Frozen Meals,France,9,501.18,2025-12-15,TARJETA
487,Home Brewing Starter Kit,Food,Venezuela,4,21.57,2025-08-18,BIZUM
488,Ginger Turmeric Latte Mix,Food - Beverages,Malaysia,14,956.25,2025-08-07,TRANSFERENCIA
489,Canvas Tote Bag,Clothing - Accessories,Ghana,2,56.69,2025-12-17,TARJETA
490,Garlic and Herb Rub,Food - Spices,Brazil,8,422.99,2025-04-01,TARJETA
491,Cucumber Lime Sparkling Water,Food - Beverages,Azerbaijan,18,323.27,2025-08-31,TRANSFERENCIA
492,Sculpting Kit,Art Supplies,France,19,30.32,2025-11-29,BIZUM
493,Sliced Bell Peppers,Food - Fresh Produce,United States,4,565.36,2025-06-04,TRANSFERENCIA
494,Peas (frozen),Food - Frozen Foods,Indonesia,2,825.38,2025-09-26,TARJETA
495,Chocolate Chip Cookie Mix,Food - Baking,Russia,11,164.78,2026-03-07,TRANSFERENCIA
496,Tactical Backpack,Outdoor,Ireland,19,998.25,2025-06-20,TARJETA
497,Coconut Granola,Food - Snacks,Finland,16,731.56,2025-03-28,BIZUM
498,Mint Chocolate Chip Ice Cream,Food - Frozen Desserts,Indonesia,15,620.78,2025-05-14,TRANSFERENCIA
499,Lentil Vegetable Stew,Food - Canned Soups,Sri Lanka,5,702.46,2025-12-15,BIZUM
500,Ice Cream Maker,Kitchen,Indonesia,8,432.57,2025-08-19,TRANSFERENCIA
501,Vegetarian Pizza,Food - Frozen Foods,China,5,851.75,2025-11-29,TRANSFERENCIA
502,Pesto Pasta Salad,Food - Prepared Foods,Philippines,11,259.31,2026-03-05,TRANSFERENCIA
503,Tomato Sauce,Food - Canned Goods,China,1,588.95,2025-10-06,TARJETA
504,Ranch Dressing,Food - Condiments,Syria,17,584.62,2026-03-21,BIZUM
505,Teriyaki Tofu Stir-Fry,Food - Prepared Meals,Thailand,3,651.02,2025-12-11,BIZUM
506,Body Pillow Case,Home,China,11,459.49,2025-03-09,TRANSFERENCIA
507,A-Line Skirt,Clothing - Bottoms,China,5,302.48,2025-10-23,TRANSFERENCIA
508,Garlic & Herb Goat Cheese,Food - Dairy,Panama,4,515.32,2025-12-12,TARJETA
509,Glass Water Bottle,Fitness,China,4,264.89,2025-07-12,BIZUM
510,Smartphone Tripod with Bluetooth Remote,Photography,China,4,435.3,2025-06-30,TARJETA
511,Smartphone Tripod with Bluetooth Remote,Photography,Peru,15,736.79,2025-04-30,TRANSFERENCIA
512,Stainless Steel Cutlery Set,Kitchen,Brazil,2,234.92,2026-03-24,TARJETA
513,Red Lentil Pasta,Food - Pasta,Morocco,9,650.46,2025-02-02,TARJETA
514,Set of Silicone Baking Molds,Kitchen,France,10,28.39,2025-09-16,TARJETA
515,Portable Blender,Kitchen,Nicaragua,14,735.55,2025-03-01,BIZUM
516,Pet Training Clicker,Pets,Indonesia,19,311.42,2025-05-15,TARJETA
517,Leather Biker Jacket,Clothing - Outerwear,China,4,345.5,2025-10-10,BIZUM
518,Luxury Bath Salts,Beauty,China,18,243.38,2025-01-08,BIZUM
519,Cauliflower Pizza Crust,Food - Frozen Foods,Japan,10,5.2,2026-03-25,TARJETA
520,Classic Chicken Noodle Soup,Food - Canned Goods,Brazil,8,93.26,2025-04-05,TRANSFERENCIA
521,Homestyle Chicken Noodle Soup,Food - Canned Goods,Poland,11,149.65,2026-03-23,BIZUM
522,Balsamic Vinaigrette,Food - Dressings,Greece,7,15.91,2025-03-11,TRANSFERENCIA
523,Beach Cover-Up,Clothing - Swimwear,China,1,996.36,2025-07-23,BIZUM
524,Miso Soup Mix,Food - Soups,Ethiopia,10,32.0,2025-09-11,TARJETA
525,Vanilla Protein Powder,Food - Health/Protein,Turkmenistan,9,132.82,2026-02-17,TRANSFERENCIA
526,Spicy Tuna Sushi Kit,Food - Prepared Meals,Bulgaria,20,163.1,2025-04-23,BIZUM
527,Organic Black Bean Burger,Food - Frozen Foods,Sweden,2,165.82,2025-07-03,TARJETA
528,Whole Wheat Bread,Food - Bakery,Japan,1,965.01,2025-03-29,TRANSFERENCIA
529,Bamboo Utensil Holder,Kitchen,Russia,17,172.09,2025-02-06,TRANSFERENCIA
530,Coconut Bowls Set,Kitchen,Brazil,4,644.51,2025-11-09,BIZUM
531,Silicone Wine Glasses,Outdoor,France,12,81.48,2025-01-24,TRANSFERENCIA
532,Silicone Cooking Utensils Set,Kitchen,China,19,702.33,2025-12-16,TARJETA
533,Honeycrisp Apples,Food - Produce,United States,19,888.33,2025-01-21,TRANSFERENCIA
534,Apple Sauce,Food - Canned Goods,Belarus,1,916.43,2025-11-25,TRANSFERENCIA
535,Fresh Cilantro,Food - Produce,Russia,11,904.15,2025-06-17,BIZUM
536,Lemon Zest Olive Oil,Food - Oils & Vinegars,Nigeria,11,30.33,2025-04-12,TRANSFERENCIA
537,Over-the-Door Hooks,Home,Thailand,10,759.72,2025-02-04,BIZUM
538,Mango Sticky Rice Dessert,Food - Frozen Desserts,France,18,198.98,2025-07-29,BIZUM
539,Sweet Pea Hummus,Food - Dips,Russia,16,25.41,2025-03-17,TRANSFERENCIA
540,Cucumber,Food - Produce,Ukraine,17,927.05,2025-04-25,TRANSFERENCIA
541,Coconut Chia Pudding,Food - Dairy,Egypt,1,600.16,2026-01-10,TRANSFERENCIA
542,Car Diagnostic Scanner,Automotive,Colombia,5,938.15,2025-08-28,BIZUM
543,Tennis Racket,Fitness,Mayotte,6,308.04,2025-07-26,TARJETA
544,Hummus Variety Pack,Food - Dairy,Poland,1,669.43,2025-07-19,TARJETA
545,Graphic Tee,Clothing,China,7,697.09,2025-09-07,BIZUM
546,Outdoor Inflatable Pool,Outdoor,Russia,19,307.85,2025-01-01,BIZUM
547,Organic Coconut Yogurt,Food - Dairy,Russia,13,712.93,2025-03-13,BIZUM
548,Pumpkin Spice Creamer,Food - Beverages,Philippines,5,84.85,2025-04-10,TARJETA
549,Homestyle Chicken Noodle Soup,Food - Canned Goods,Brazil,9,366.27,2025-03-11,TRANSFERENCIA
550,Almond Flour Biscuits,Food - Bakery,Peru,13,764.99,2026-03-25,TRANSFERENCIA
551,Oversized Denim Shirt,Clothing - Shirts,Jordan,1,428.98,2026-04-04,TRANSFERENCIA
552,Brown Rice,Food - Grains,France,9,44.23,2025-09-21,TRANSFERENCIA
553,Inflatable Party Cooler,Outdoor,Malaysia,19,477.76,2025-04-29,BIZUM
554,Samsung Galaxy Smartwatch,Wearable Tech,Russia,15,264.7,2025-03-16,TRANSFERENCIA
555,Ground Cinnamon,Food - Spices,China,1,14.69,2025-10-10,BIZUM
556,Foldable Picnic Table,Outdoor,Argentina,8,945.22,2025-01-25,TRANSFERENCIA
557,Peach Slices (canned),Food - Canned Goods,Israel,11,777.41,2025-12-25,BIZUM
558,Camera Lens Cleaning Kit,Photography,Bolivia,1,336.0,2025-11-28,TARJETA
559,Almond Butter Cookies,Food - Snacks,France,13,544.4,2025-02-05,TARJETA
560,Honey Garlic Sauce,Food - Sauces,Vietnam,7,479.35,2026-03-29,TRANSFERENCIA
561,Hummus Trio Pack,Food - Snacks,Pakistan,1,474.86,2025-11-28,TRANSFERENCIA
562,Ceramic Cookware Set,Kitchen,Ireland,10,254.61,2025-05-04,TARJETA
563,Sea Salt Caramel Brownie,Food - Bakery,United States,2,179.92,2025-08-25,BIZUM
564,Silicone Cooking Utensils Set,Kitchen,Peru,17,601.19,2025-01-11,TRANSFERENCIA
565,Nut Mix,Food - Snacks,Colombia,5,24.47,2026-02-03,TARJETA
566,Garam Masala Spice Blend,Food - Spices,United States,17,880.71,2026-02-07,TARJETA
567,Garden Hose Reel,Garden,Poland,16,297.94,2025-02-08,BIZUM
568,Coconut Cream Pie,Food - Bakery,China,4,655.78,2025-07-12,TARJETA
569,Magnetic Spice Containers,Kitchen,China,12,102.98,2025-07-06,TARJETA
570,Electric Egg Cooker,Kitchen,Indonesia,9,29.89,2025-04-10,TARJETA
571,Sriracha Chili Sauce,Food - Condiments,Ecuador,9,522.23,2025-01-26,BIZUM
572,Pet Training Pads,Pets,Latvia,2,642.93,2025-01-28,TARJETA
573,Digital Camera,Electronics,Indonesia,16,234.84,2025-08-05,TRANSFERENCIA
574,Skincare Set,Beauty,Greece,8,104.72,2025-09-23,TRANSFERENCIA
575,Shower Curtain Hooks,Home,France,1,743.27,2025-10-15,TARJETA
576,Spinach Artichoke Dip,Food - Snacks,Sweden,3,798.46,2025-08-03,TARJETA
577,Mayonnaise,Food - Condiments,Indonesia,18,955.36,2025-01-25,BIZUM
578,Weighted Jump Rope,Fitness,Philippines,15,593.03,2025-04-02,TRANSFERENCIA
579,Almond Joy Protein Bars,Food - Snacks,United States,1,852.08,2025-03-22,TRANSFERENCIA
580,Chocolate Almond Milk,Food - Dairy Alternatives,China,16,837.67,2025-04-06,BIZUM
581,Air Fryer,Kitchen,Poland,5,391.14,2026-02-25,TRANSFERENCIA
582,Rechargeable Electric Toothbrush,Health,Iran,14,229.3,2025-10-30,BIZUM
583,Photo Album,Home,Indonesia,12,964.52,2025-08-27,TARJETA
584,Garam Masala Spice Blend,Food - Spices,Belarus,13,645.55,2025-08-08,TRANSFERENCIA
585,Garlic Herb Marinade,Food - Marinades,Czech Republic,13,306.45,2026-04-02,TRANSFERENCIA
586,Handmade Soap Making Kit,Crafts,United States,7,135.17,2025-03-04,BIZUM
587,Coconut Cream Pie Mix,Food - Baking,China,3,84.68,2025-12-20,TRANSFERENCIA
588,Vanilla Ice Cream,Food - Frozen Foods,Thailand,12,281.7,2026-01-30,TRANSFERENCIA
589,Digital Food Thermometer,Kitchen,Greece,2,922.14,2025-03-14,TRANSFERENCIA
590,Chocolate Chip Energy Balls,Food - Snacks,Colombia,8,826.57,2025-11-18,TARJETA
591,Magnetic Chess Set,Toys,Canada,3,863.33,2025-03-09,BIZUM
592,Pineapple Salsa,Food - Condiments,China,10,175.74,2026-02-15,BIZUM
593,Maple Cinnamon Granola Bars,Food - Snacks,Brazil,18,439.76,2025-06-10,TRANSFERENCIA
594,Children's Educational Workbook,Books,Indonesia,17,663.4,2025-02-03,TRANSFERENCIA
595,Foot Spa Bath Massager,Health,Portugal,1,980.25,2025-04-11,BIZUM
596,Savory Snack Mix,Food - Snacks,Sweden,10,200.8,2025-03-23,TRANSFERENCIA
597,Insulated Sport Tumbler,Fitness,Russia,12,931.73,2025-08-12,BIZUM
598,Protein Bar Variety Pack,Food - Snacks,Ireland,18,828.37,2025-03-11,BIZUM
599,Sweet Chili Sauce,Food - Condiments,Macedonia,18,758.52,2025-06-17,BIZUM
600,Kids' Educational Tablet,Electronics,Pakistan,11,493.47,2025-10-12,TARJETA
601,Cushion Covers,Home,Indonesia,15,236.21,2025-09-28,BIZUM
602,Andouille Sausage,Food - Meat,Philippines,4,826.71,2025-07-03,TRANSFERENCIA
603,Screen Cleaning Kit,Electronics,Albania,16,362.23,2026-03-28,TARJETA
604,Spinach Artichoke Dip,Food - Snacks,China,14,927.09,2026-01-26,TARJETA
605,Falafel Mix,Food - Baking & Cooking,Democratic Republic of the Congo,16,964.44,2025-12-15,TRANSFERENCIA
606,Electric Air Pump,Outdoor,Portugal,9,891.36,2026-01-05,TARJETA
607,Garlic Parmesan Wings,Food - Frozen Foods,Sudan,9,886.47,2025-11-18,BIZUM
